unnested,unnested_with_transform,nested
32.10153913497925,32.83317041397095,32.53309106826782
31.77411413192749,32.8296012878418,31.417916774749756
31.815494537353516,32.45146727561951,30.772647380828857
32.43020296096802,33.891517162323,30.485297441482544
32.87450551986694,32.78421878814697,30.990276336669922
33.15904498100281,34.22938847541809,31.122381448745728
31.103545665740967,32.824843645095825,30.63944411277771
33.180808544158936,34.35241389274597,29.863257884979248
31.317432641983032,32.778135538101196,29.99773097038269
31.184086799621582,32.598947525024414,30.11465883255005
31.108798027038574,32.26548385620117,30.62380576133728
31.920575857162476,34.803603410720825,29.563941478729248
32.945141553878784,31.657430171966553,31.403361082077026
32.54701900482178,32.498194456100464,30.457155227661133
32.59892392158508,32.01939058303833,30.262908697128296
31.9003803730011,32.95918798446655,29.136754274368286
33.235127687454224,32.089839220047,31.132206201553345
32.44529938697815,32.80884909629822,30.412473917007446
32.33562898635864,31.949647188186646,29.70810103416443
32.128700733184814,33.61931586265564,33.98344302177429
37.24515223503113,34.34148073196411,32.311625957489014
31.441326379776,31.6407573223114,31.899150848388672
39.00390267372131,32.00399613380432,29.673168659210205
31.484872102737427,32.61437129974365,31.456786632537842
32.914767265319824,34.470027685165405,31.47211456298828
31.83389711380005,35.27572226524353,29.959635496139526
31.214401960372925,32.30525302886963,29.958582162857056
32.197824239730835,35.53893041610718,33.10798144340515
41.42360758781433,31.96978735923767,29.56898522377014
32.174681186676025,32.687405586242676,32.580437898635864
